7227.FBpp0088029 COG0003
7227.FBpp0112150 COG0004
7227.FBpp0072003 COG0005
7227.FBpp0086072 COG0005
7227.FBpp0288492 COG0005
7227.FBpp0303831 COG0005
7227.FBpp0070025 COG0006
7227.FBpp0078180 COG0006
7227.FBpp0078181 COG0006
7227.FBpp0080509 COG0006
7227.FBpp0082069 COG0006
7227.FBpp0082118 COG0006
7227.FBpp0072094 COG0008
7227.FBpp0075169 COG0008
7227.FBpp0083898 COG0008
7227.FBpp0084240 COG0008
7227.FBpp0085562 COG0009
7227.FBpp0070083 COG0010
7227.FBpp0088408 COG0012
7227.FBpp0076871 COG0013
7227.FBpp0079326 COG0013
7227.FBpp0080894 COG0013
7227.FBpp0305184 COG0013
7227.FBpp0301603 COG0014
7227.FBpp0082816 COG0015
7227.FBpp0071138 COG0016
7227.FBpp0086720 COG0016
7227.FBpp0086205 COG0017
7227.FBpp0304830 COG0017
7227.FBpp0305104 COG0017
7227.FBpp0073863 COG0018
7227.FBpp0073965 COG0018
7227.FBpp0305960 COG0018
7227.FBpp0087939 COG0019
7227.FBpp0087940 COG0019
7227.FBpp0077626 COG0020
7227.FBpp0303850 COG0020
7227.FBpp0074898 COG0021
7227.FBpp0081370 COG0021
7227.FBpp0084735 COG0022
7227.FBpp0112484 COG0022
7227.FBpp0072908 COG0023
7227.FBpp0302657 COG0023
7227.FBpp0076827 COG0024
7227.FBpp0079462 COG0024
7227.FBpp0079614 COG0024
7227.FBpp0084120 COG0024
7227.FBpp0079002 COG0025
7227.FBpp0271755 COG0025
7227.FBpp0289190 COG0025
7227.FBpp0290667 COG0025
7227.FBpp0301109 COG0025
7227.FBpp0085630 COG0028
7227.FBpp0084729 COG0030
7227.FBpp0291478 COG0030
7227.FBpp0076937 COG0031
7227.FBpp0075247 COG0033
7227.FBpp0076654 COG0034
7227.FBpp0081261 COG0034
7227.FBpp0076818 COG0035
7227.FBpp0301729 COG0036
7227.FBpp0087712 COG0037
7227.FBpp0082002 COG0038
7227.FBpp0086939 COG0038
7227.FBpp0305775 COG0038
7227.FBpp0075605 COG0039
7227.FBpp0075634 COG0039
7227.FBpp0079640 COG0039
7227.FBpp0082985 COG0039
7227.FBpp0297097 COG0039
7227.FBpp0304375 COG0039
7227.FBpp0073720 COG0042
7227.FBpp0077799 COG0042
7227.FBpp0080694 COG0042
7227.FBpp0080828 COG0042
7227.FBpp0074325 COG0044
7227.FBpp0112945 COG0044
7227.FBpp0076840 COG0045
7227.FBpp0289824 COG0045
7227.FBpp0291001 COG0045
7227.FBpp0078850 COG0046
7227.FBpp0086701 COG0048
7227.FBpp0300988 COG0048
7227.FBpp0074180 COG0049
7227.FBpp0082465 COG0049
7227.FBpp0304503 COG0049
7227.FBpp0086790 COG0050
7227.FBpp0088054 COG0050
7227.FBpp0082513 COG0051
7227.FBpp0083371 COG0051
7227.FBpp0070279 COG0052
7227.FBpp0077099 COG0052
7227.FBpp0086957 COG0053
7227.FBpp0075203 COG0055
7227.FBpp0076196 COG0055
7227.FBpp0079664 COG0055
7227.FBpp0297914 COG0055
7227.FBpp0305828 COG0055
7227.FBpp0071794 COG0056
7227.FBpp0073922 COG0057
7227.FBpp0086215 COG0057
7227.FBpp0087977 COG0057
7227.FBpp0077501 COG0058
7227.FBpp0078150 COG0060
7227.FBpp0291534 COG0060
7227.FBpp0086803 COG0061
7227.FBpp0086806 COG0061
7227.FBpp0074970 COG0062
7227.FBpp0288673 COG0062
7227.FBpp0074800 COG0063
7227.FBpp0083969 COG0064
7227.FBpp0297083 COG0069
7227.FBpp0084021 COG0072
7227.FBpp0073010 COG0074
7227.FBpp0083183 COG0074
7227.FBpp0070875 COG0075
7227.FBpp0073131 COG0076
7227.FBpp0077837 COG0076
7227.FBpp0080697 COG0076
7227.FBpp0080710 COG0076
7227.FBpp0085475 COG0076
7227.FBpp0085476 COG0076
7227.FBpp0086158 COG0076
7227.FBpp0271885 COG0076
7227.FBpp0301687 COG0076
7227.FBpp0304256 COG0076
7227.FBpp0072083 COG0080
7227.FBpp0082412 COG0080
7227.FBpp0075764 COG0081
7227.FBpp0081322 COG0081
7227.FBpp0082483 COG0081
7227.FBpp0083501 COG0084
7227.FBpp0297568 COG0084
7227.FBpp0077714 COG0085
7227.FBpp0082353 COG0085
7227.FBpp0087085 COG0085
7227.FBpp0073387 COG0086
7227.FBpp0086640 COG0086
7227.FBpp0290035 COG0086
7227.FBpp0073906 COG0087
7227.FBpp0081822 COG0087
7227.FBpp0071766 COG0088
7227.FBpp0080401 COG0088
7227.FBpp0084617 COG0088
7227.FBpp0072687 COG0089
7227.FBpp0072801 COG0090
7227.FBpp0075941 COG0090
7227.FBpp0070940 COG0091
7227.FBpp0074104 COG0091
7227.FBpp0083802 COG0092
7227.FBpp0071808 COG0093
7227.FBpp0085717 COG0094
7227.FBpp0292865 COG0095
7227.FBpp0073623 COG0096
7227.FBpp0087321 COG0096
7227.FBpp0079752 COG0097
7227.FBpp0079500 COG0098
7227.FBpp0110439 COG0098
7227.FBpp0085585 COG0099
7227.FBpp0071050 COG0100
7227.FBpp0071052 COG0100
7227.FBpp0088833 COG0100
7227.FBpp0071700 COG0101
7227.FBpp0110275 COG0101
7227.FBpp0291529 COG0101
7227.FBpp0078354 COG0102
7227.FBpp0088360 COG0102
7227.FBpp0081263 COG0103
7227.FBpp0302642 COG0104
7227.FBpp0073750 COG0105
7227.FBpp0081561 COG0105
7227.FBpp0085077 COG0105
7227.FBpp0085223 COG0105
7227.FBpp0079582 COG0109
7227.FBpp0079809 COG0111
7227.FBpp0099514 COG0111
7227.FBpp0070792 COG0112
7227.FBpp0305549 COG0113
7227.FBpp0070914 COG0114
7227.FBpp0070916 COG0114
7227.FBpp0079554 COG0114
7227.FBpp0304212 COG0114
7227.FBpp0073608 COG0115
7227.FBpp0078979 COG0119
7227.FBpp0071913 COG0120
7227.FBpp0296955 COG0120
7227.FBpp0071168 COG0122
7227.FBpp0073173 COG0123
7227.FBpp0073826 COG0123
7227.FBpp0078414 COG0123
7227.FBpp0293582 COG0123
7227.FBpp0305523 COG0123
7227.FBpp0085148 COG0124
7227.FBpp0305939 COG0124
7227.FBpp0303030 COG0125
7227.FBpp0077420 COG0126
7227.FBpp0303562 COG0126
7227.FBpp0078684 COG0127
7227.FBpp0085330 COG0130
7227.FBpp0099583 COG0130
7227.FBpp0081197 COG0137
7227.FBpp0292529 COG0138
7227.FBpp0081255 COG0141
7227.FBpp0293247 COG0141
7227.FBpp0076557 COG0142
7227.FBpp0077945 COG0142
7227.FBpp0085131 COG0142
7227.FBpp0087266 COG0142
7227.FBpp0075168 COG0143
7227.FBpp0082356 COG0143
7227.FBpp0085809 COG0143
7227.FBpp0087757 COG0143
